1501,604,0,0,0
1502,603,601,602,0
1503,601,0,0,0
1504,601,603,604,602
1505,603,604,601,0
1506,604,601,0,0
1507,601,602,603,0
1508,602,601,0,0
1509,603,602,604,601
1510,604,603,601,602
1511,602,603,604,0
1512,604,0,0,0
1513,601,602,0,0
1514,603,604,602,601
1515,602,0,0,0
1516,602,603,604,601
1517,602,604,0,0
1518,604,603,602,601
1519,601,602,0,0
1520,603,0,0,0
1521,603,602,604,0
1522,601,603,602,0
1523,601,604,603,602
1524,601,604,0,0
1525,603,0,0,0
1526,603,0,0,0
1527,602,0,0,0
1528,604,601,603,0
1529,601,603,602,0
1530,601,602,0,0
1531,602,0,0,0
1532,603,601,0,0
1533,602,603,604,0
1534,603,604,0,0
1535,602,601,0,0
1536,603,604,0,0
1537,604,601,602,0
1538,602,604,601,603
1539,601,603,602,604
1540,604,0,0,0
1541,602,603,604,0
1542,604,601,0,0
1543,603,0,0,0
1544,604,603,602,0
1545,601,603,602,604
1546,601,604,602,603
1547,604,0,0,0
1548,604,0,0,0
1549,604,601,602,603
1550,602,601,604,0
1551,602,601,604,603
1552,602,604,601,603
1553,601,602,0,0
1554,602,604,603,601
1555,602,601,0,0
1556,601,603,604,0
1557,604,601,603,0
1558,602,0,0,0
1559,601,0,0,0
1560,604,601,602,603
1561,604,0,0,0
1562,603,604,601,0
1563,603,602,601,0
1564,604,603,0,0
1565,604,601,603,0
1566,603,0,0,0
1567,603,0,0,0
1568,602,601,604,603
1569,604,601,0,0
1570,601,604,0,0
1571,602,603,601,0
1572,604,0,0,0
1573,601,604,0,0
1574,604,601,602,0
1575,604,0,0,0
1576,602,601,0,0
1577,601,603,604,602
1578,601,602,604,603
1579,602,603,604,601
1580,604,603,0,0
1581,603,604,602,0
1582,603,604,0,0
1583,601,0,0,0
1584,601,602,604,0
1585,602,0,0,0
1586,602,601,603,0
1587,603,601,604,0
1588,601,603,602,604
1589,602,604,601,603
1590,601,603,604,602
1591,604,602,603,601
1592,602,601,604,603
1593,604,602,601,603
1594,604,0,0,0
1595,601,0,0,0
1596,602,601,0,0
1597,601,604,603,602
1598,601,602,603,0
1599,604,603,0,0
1600,601,604,603,602
