1251,403,0,0,0,406,0
1252,401,402,403,404,406,0
1253,401,404,403,0,405,406
1254,404,402,403,0,405,406
1255,402,0,0,0,405,0
1256,401,0,0,0,406,0
1257,404,403,402,0,405,0
1258,404,403,0,0,406,0
1259,401,403,404,402,406,0
1260,403,401,0,0,406,0
1261,404,0,0,0,406,405
1262,401,404,0,0,406,0
1263,401,404,402,403,405,0
1264,401,402,404,0,406,0
1265,401,402,404,0,405,406
1266,404,401,402,0,405,0
1267,401,0,0,0,405,406
1268,404,401,0,0,406,0
1269,402,404,0,0,405,406
1270,401,403,402,0,405,0
1271,401,402,0,0,405,0
1272,404,403,401,0,406,405
1273,404,0,0,0,405,406
1274,403,404,0,0,405,0
1275,403,402,404,401,406,0
1276,403,402,401,0,406,405
1277,403,402,401,0,405,406
1278,404,0,0,0,405,406
1279,401,402,404,403,405,0
1280,402,401,403,404,405,406
1281,401,404,403,0,405,406
1282,403,401,404,402,406,0
1283,402,0,0,0,406,405
1284,403,0,0,0,406,405
1285,404,402,0,0,406,0
1286,401,404,403,0,406,0
1287,401,404,0,0,405,0
1288,403,401,0,0,405,406
1289,402,403,401,404,406,0
1290,401,403,402,0,405,406
1291,403,402,0,0,405,0
1292,402,401,404,0,406,0
1293,401,0,0,0,405,406
1294,402,404,401,403,406,405
1295,403,0,0,0,406,405
1296,402,401,404,403,406,405
1297,402,404,403,0,406,0
1298,401,0,0,0,405,406
1299,402,0,0,0,406,0
1300,401,404,0,0,406,0
1301,404,0,0,0,405,406
1302,401,402,404,0,405,406
1303,401,0,0,0,405,406
1304,401,0,0,0,406,405
1305,404,0,0,0,406,405
1306,402,403,404,0,406,0
1307,403,401,402,0,406,0
1308,401,0,0,0,405,0
1309,401,0,0,0,406,405
1310,401,403,402,0,406,0
1311,402,401,0,0,405,406
1312,402,401,0,0,406,405
1313,403,404,0,0,406,0
1314,403,404,0,0,406,405
1315,403,0,0,0,405,406
1316,402,403,0,0,405,406
1317,403,401,0,0,405,406
1318,404,403,402,0,405,0
1319,404,401,402,0,406,405
1320,402,0,0,0,406,405
1321,404,403,401,402,405,0
1322,402,0,0,0,406,0
1323,401,403,402,0,405,0
1324,403,402,401,0,406,405
1325,401,403,0,0,405,406
1326,402,0,0,0,406,0
1327,402,404,403,401,405,0
1328,402,401,404,403,405,0
1329,402,0,0,0,406,405
1330,402,404,401,403,405,0
1331,402,403,404,0,406,0
1332,403,401,402,404,405,0
1333,404,0,0,0,406,405
1334,404,401,403,0,405,406
1335,403,401,0,0,406,0
1336,403,404,402,401,406,0
1337,404,0,0,0,405,406
1338,402,401,403,0,406,405
1339,403,401,0,0,405,406
1340,404,401,403,0,406,405
1341,404,403,401,0,406,405
1342,403,0,0,0,405,406
1343,401,402,404,403,405,406
1344,401,0,0,0,406,405
1345,403,404,0,0,406,405
1346,401,402,0,0,406,405
1347,401,404,403,402,405,0
1348,404,403,402,401,405,0
1349,402,0,0,0,405,406
1350,404,0,0,0,406,0
