1251,406,0
1252,406,0
1253,405,406
1254,405,406
1255,405,0
1256,406,0
1257,405,0
1258,406,0
1259,406,0
1260,406,0
1261,406,405
1262,406,0
1263,405,0
1264,406,0
1265,405,406
1266,405,0
1267,405,406
1268,406,0
1269,405,406
1270,405,0
1271,405,0
1272,406,405
1273,405,406
1274,405,0
1275,406,0
1276,406,405
1277,405,406
1278,405,406
1279,405,0
1280,405,406
1281,405,406
1282,406,0
1283,406,405
1284,406,405
1285,406,0
1286,406,0
1287,405,0
1288,405,406
1289,406,0
1290,405,406
1291,405,0
1292,406,0
1293,405,406
1294,406,405
1295,406,405
1296,406,405
1297,406,0
1298,405,406
1299,406,0
1300,406,0
1301,405,406
1302,405,406
1303,405,406
1304,406,405
1305,406,405
1306,406,0
1307,406,0
1308,405,0
1309,406,405
1310,406,0
1311,405,406
1312,406,405
1313,406,0
1314,406,405
1315,405,406
1316,405,406
1317,405,406
1318,405,0
1319,406,405
1320,406,405
1321,405,0
1322,406,0
1323,405,0
1324,406,405
1325,405,406
1326,406,0
1327,405,0
1328,405,0
1329,406,405
1330,405,0
1331,406,0
1332,405,0
1333,406,405
1334,405,406
1335,406,0
1336,406,0
1337,405,406
1338,406,405
1339,405,406
1340,406,405
1341,406,405
1342,405,406
1343,405,406
1344,406,405
1345,406,405
1346,406,405
1347,405,0
1348,405,0
1349,405,406
1350,406,0
