0,606
1502,1501
1507,1503
1510,1504
1513,1505
1514,1506
1515,1508
1518,1509
1519,1511
1521,1512
1526,1513
1527,1514
1528,1515
1529,1516
1533,1517
1534,1520
1536,1522
1539,1523
1541,1524
1542,1525
1543,1526
1544,1529
1545,1530
1546,1531
1547,1532
1549,1533
1550,1535
1553,1537
1555,1538
1556,1540
1557,1542
1561,1543
1562,1544
1563,1545
1567,1546
1571,1547
1572,1548
1573,1550
1574,1551
1575,1552
1577,1553
1580,1554
1581,1556
1582,1558
1585,1559
1587,1560
1588,1562
1590,1563
1593,1564
1597,1565
1599,1566
1600,1568
0,1569
0,1570
0,1572
0,1574
0,1575
0,1576
0,1577
0,1578
0,1579
0,1581
0,1583
0,1584
0,1586
0,1587
0,1588
